,id,age,gender,gender[other],experiencePacman,experienceAI2[6],experienceAI2[1],experienceAI2[2],experienceAI2[3],experienceAI2[4],experienceAI2[5],experienceAI2[other],outcomeAI[1],condition,retrospection1[1],retrospection1[2],retrospection1[3],retrospection1[4],retrospection1[5],retrospection1[6],slider0,slider1,slider2,slider3,slider4,Intention1,RetrospectionConf1[predictConf1],UsedCounterfactual1,retrospection2[1],retrospection2[2],retrospection2[3],retrospection2[4],retrospection2[5],retrospection2[6],slider5,slider6,slider7,slider8,slider9,Intention2,RetrospectionConf2[predictConf1],UsedCounterfactual2,retrospection3[1],retrospection3[2],retrospection3[3],retrospection3[4],retrospection3[5],retrospection3[6],slider10,slider11,slider12,slider13,slider14,Intention3,RetrospectionConf3[predictConf1],UsedCounterfactual3,explSatisfaction1[1],explSatisfaction1[2],explSatisfaction1[3],explSatisfaction1[4],comment1,sliderLeft0,sliderRight0,sliderLeft1,sliderRight1,sliderLeft2,sliderLeft3,sliderRight3,sliderLeft4,sliderRight4,sliderRight2,trustPoints1,trustSurvive1,trustConfidence1[confidence1],trustUsedCF1,sliderLeft5,sliderRight5,sliderLeft6,sliderRight6,sliderLeft7,sliderLeft8,sliderRight8,sliderLeft9,sliderRight9,sliderRight7,trustPoints2,trustSurvive2,trustConfidence2[confidence1],trustUsedCF2,sliderLeft10,sliderRight10,sliderLeft11,sliderRight11,sliderLeft12,sliderLeft13,sliderRight13,sliderLeft14,sliderRight14,sliderRight12,trustPoints3,trustSurvive3,trustConfidence3[confidence1],trustUsedCF3,explSatisfaction2[1],explSatisfaction2[2],explSatisfaction2[3],explSatisfaction2[4],comment2,bonus,retroTime,trustTime,totalTime,retrospection1Goal,retrospection1Points,retrospection1Pacman,retrospection2Goal,retrospection2Points,retrospection2Pacman,retrospection3Goal,retrospection3Points,retrospection3Pacman,trustPoints1correct,trustSurvive1correct,trustPoints2correct,trustPoints3correct,trustSurvive3correct,agent1_slider_sum,agent2_slider_sum,agent3_slider_sum,retroScoreTotal,retroGoalTotal,retroPacmanTotal,trustPointsTotal,trustSurviveTotal,trustTotal,trust1_slider_sum,trust2_slider_sum,trust3_slider_sum,retroSliders,trustSliders,explSatisfactionRetroAvg,explSatisfactionTrustAvg,used_Counterfactual_retro,used_Counterfactual_trust
0,51,55.0,1.0,,4.0,,Y,,,,,,4.0,0,,,Y,,Y,,-1.0,-1.0,-1.0,-1.0,-1.0,Primarily to eat the four power pills and blue ghost first before collecting pills.,4.0,,,,Y,,Y,,-1.0,-1.0,-1.0,-1.0,-1.0,The AI likes to clear the power pills and capture ghost over just collecting pills.,4.0,,,Y,,Y,,,-1.0,-1.0,-1.0,-1.0,-1.0,The AI agent is trying to avoid the ghost while collecting pills in the lower two quadrants.,2.0,,3.0,2.0,2.0,3.0,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,5.0,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,2.0,3.0,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,5.0,,3.0,2.0,2.0,4.0,,15.0,570.5699999999999,128.35000000000002,698.92,1,0,0,1,0,0,1,0,0,1,0,0,1,0,-5.0,-5.0,-5.0,0,3,0,2,0,2,-10.0,-10.0,-10.0,-15.0,-30.0,2.5,2.75,0.0,0.0
1,54,32.0,1.0,,4.0,,Y,Y,,,,,5.0,2,,,Y,,Y,,1.0,1.0,1.0,1.0,1.0,get power pills then attack blue ghosts,4.0,Y,,,Y,,,,1.0,1.0,1.0,1.0,1.0,Strategy is to avoid ghosts and focus on getting power pills,5.0,N,,,,Y,,,1.0,1.0,1.0,1.0,1.0,avoid ghosts,5.0,Y,2.0,2.0,2.0,2.0,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,2.0,3.0,N,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,2.0,4.0,N,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,N,2.0,2.0,2.0,3.0,,50.0,469.70000000000005,197.0,666.7,1,0,0,1,1,0,1,1,0,1,1,1,1,1,5.0,5.0,5.0,2,3,0,3,2,5,-10.0,-10.0,10.0,15.0,-10.0,2.0,2.25,2.0,0.0
2,55,52.0,1.0,,3.0,,Y,,,,,,4.0,1,Y,Y,,,,,0.99,1.0,1.0,1.0,1.0,To eat the pills.,4.0,Y,Y,,,Y,,,1.0,1.0,0.85,1.0,0.84,To eat the ghosts.,5.0,Y,Y,,,Y,,,0.7,0.97,0.93,0.97,0.47,To avoid the ghosts.,5.0,Y,4.0,3.0,2.0,3.0,None.,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,2.0,6.0,Y,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,1.0,5.0,Y,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,2.0,5.0,Y,4.0,3.0,3.0,4.0,None,35.0,330.38,155.17,485.54999999999995,0,0,1,0,0,1,1,1,1,1,1,0,1,1,4.99,4.69,4.04,1,1,3,2,2,4,-10.0,-10.0,-8.0,13.719999999999999,-28.0,3.0,3.5,3.0,3.0
3,58,61.0,2.0,,4.0,,Y,,,,,,1.0,0,,,Y,,Y,,-1.0,-1.0,-1.0,-1.0,-1.0,Eat the blue ghosts.,7.0,,,,Y,,,,-1.0,-1.0,-1.0,-1.0,-1.0,Eat the power pills.,7.0,,,,,Y,,,-1.0,-1.0,-1.0,-1.0,-1.0,Avoid the ghosts.,7.0,,5.0,5.0,4.0,5.0,no,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,2.0,7.0,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,6.0,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,2.0,7.0,,5.0,5.0,3.0,5.0,,50.0,268.21000000000004,94.97,363.18000000000006,1,0,0,1,1,0,1,1,0,1,1,1,1,1,-5.0,-5.0,-5.0,2,3,0,3,2,5,-10.0,-10.0,-10.0,-15.0,-30.0,4.75,4.5,0.0,0.0
4,59,37.0,2.0,,2.0,,Y,Y,Y,,,,2.0,1,Y,,,,Y,,1.0,1.0,1.0,0.7,1.0,It looked like for the most part that the Agent was trying to get as many edible blue ghosts as possible,2.0,Y,Y,,Y,,,,1.0,1.0,-1.0,0.51,1.0,It seemed like the agent was focusing on the power pills,2.0,Y,Y,,,Y,,,0.74,0.77,0.64,0.7,0.88,The ghosts were important because the agent could take the counterfactual action if the ghosts were not there,2.0,Y,4.0,4.0,3.0,4.0,no,-1.0,-1.0,-1.0,-1.0,0.96,0.42,-1.0,-1.0,-1.0,-1.0,1.0,1.0,6.0,Y,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,4.0,Y,-1.0,-1.0,1.0,0.43,0.69,0.84,0.66,0.78,0.83,-1.0,1.0,1.0,1.0,Y,4.0,4.0,3.0,4.0,no,50.0,342.23,132.92000000000002,475.15000000000003,1,1,1,1,1,1,1,1,1,1,0,1,1,0,4.7,2.51,3.7299999999999995,3,3,3,3,0,3,-6.62,-10.0,2.23,10.94,-14.39,3.75,3.75,3.0,3.0
5,60,40.0,1.0,,4.0,,Y,,,,,,3.0,1,,,Y,,Y,,1.0,1.0,1.0,1.0,1.0,"It seems that pacman is heading to the power pills, eating them, and then targeting the ghosts. ",4.0,Y,,,Y,,Y,,1.0,1.0,1.0,1.0,1.0,It seems the AI is focused on collecting the power pills and killing the blue ghosts.,5.0,Y,Y,Y,,,,,1.0,1.0,1.0,1.0,1.0,The AI seems most focused on avoiding ghosts and collecting the 10 point pills. ,3.0,Y,4.0,3.0,3.0,4.0,No. Fun study so far. ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,2.0,5.0,Y,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,Y,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,Y,4.0,3.0,3.0,4.0,"Again, this is an enjoyable study. Thank you. ",30.0,677.3,386.16999999999996,1063.4699999999998,1,0,0,1,0,0,0,0,1,1,1,1,1,1,5.0,5.0,5.0,0,2,1,3,2,5,9.99,10.0,10.0,15.0,29.990000000000002,3.5,3.5,3.0,3.0
6,62,33.0,1.0,,2.0,,Y,Y,Y,,Y,,4.0,2,Y,,,,Y,,1.0,1.0,1.0,1.0,1.0,Avoiding the ghosts while getting as many pills as possible.,5.0,Y,Y,,Y,,,,1.0,1.0,1.0,1.0,1.0,Ate the normal pills until it could move up and eat the power pill.,5.0,Y,Y,,,Y,,,1.0,1.0,1.0,1.0,1.0,Tried to avoid the ghosts and get the power pills but kept dying after.,4.0,Y,2.0,1.0,2.0,2.0,Barely any change would happen from one side of the slider to the next. The quality of the images was very poor and with the images being out of order it is hard to get a clear sense of the strategy being applied.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,7.0,Y,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,6.0,Y,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,6.0,Y,2.0,2.0,2.0,4.0,There needs to be more definition given to the changes happening. In some counterfactual images the images would only fade a tiny bit with little other changes.,45.0,201.36,163.98,365.34000000000003,1,1,1,1,1,1,1,1,1,0,1,0,0,1,5.0,5.0,5.0,3,3,3,0,2,2,10.0,10.0,10.0,15.0,30.0,1.75,2.5,3.0,3.0
7,63,35.0,1.0,,3.0,,Y,,,,,,3.0,0,,Y,,,Y,,-1.0,-1.0,-1.0,-1.0,-1.0,The agent's strategy was to collect pills while eliminating as many ghosts as possible by eating them,5.0,,,Y,Y,,,,-1.0,-1.0,-1.0,-1.0,-1.0,"The agent's strategy was to move around the board, avoid the ghosts and eat as many pills and power pills as possible",4.0,,,Y,,Y,,,-1.0,-1.0,-1.0,-1.0,-1.0,"The agent's strategy is to avoid the ghosts, while also eating as many pills as possible",5.0,,4.0,3.0,5.0,4.0,"It was a bit difficult to know exactly what you wanted when describing the agent's strategies, since the general strategy of the game is basically the same (avoid ghosts, eat blue ghosts, eat all the pills)",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,6.0,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,2.0,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,6.0,,4.0,3.0,4.0,4.0,no additional comments,20.0,220.49,105.00999999999999,325.5,1,0,0,1,0,0,1,0,0,1,0,1,1,0,-5.0,-5.0,-5.0,0,3,0,3,0,3,-10.0,-10.0,-10.0,-15.0,-30.0,4.0,3.75,0.0,0.0
8,64,35.0,1.0,,3.0,,Y,Y,,,,,4.0,1,,Y,,,Y,,1.0,1.0,1.0,1.0,1.0,"Pacman seemed to chase down ghosts and then items to eat. Pacman did use both items to move around for a purpose, but largely the ghosts.",5.0,Y,,Y,,Y,,,0.99,1.0,1.0,1.0,1.0,The AI seemed to avoid the ghosts and then go in to areas that still had remaining things for Pacman to eat.,6.0,Y,,,,Y,,,1.0,1.0,1.0,1.0,1.0,"The ghosts were chasing Pacman, so it appeared the main reason was avoid the ghosts. It didn't seem to really seek out the items to eat.",5.0,Y,5.0,5.0,4.0,4.0,,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,2.0,2.0,6.0,Y,1.0,1.0,0.74,1.0,0.63,1.0,0.91,1.0,1.0,1.0,2.0,2.0,7.0,Y,0.46,0.54,0.7,0.74,0.77,0.86,1.0,0.88,1.0,0.64,1.0,1.0,7.0,Y,5.0,5.0,4.0,5.0,,25.0,261.9,140.03,401.92999999999995,1,0,0,0,0,0,1,1,0,0,1,0,1,0,5.0,4.99,5.0,1,2,0,1,1,2,2.0,9.280000000000001,7.59,14.99,18.87,4.5,4.75,3.0,3.0
9,67,41.0,1.0,,3.0,,Y,Y,,,,,4.0,2,,Y,,,Y,,1.0,1.0,1.0,1.0,1.0,"Pacman will try to eat any blue ghosts first, but if they are not nearby, Pacman will move towards the normal pills.",6.0,Y,Y,Y,,,,,1.0,1.0,1.0,1.0,1.0,Pacman will move towards wherever the most normal pills still exist.,6.0,Y,,,,Y,Y,,1.0,1.0,1.0,1.0,1.0,"Pacman will move away from ghosts unless they turn blue and he can then eat them.  If they turn blue, Pacman will turn towards ghosts to chase them.",3.0,Y,5.0,3.0,4.0,4.0,no comments,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,3.0,Y,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,2.0,6.0,Y,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,1.0,5.0,Y,5.0,3.0,4.0,5.0,no comments,15.0,417.96000000000004,443.27,861.23,1,0,0,0,0,1,1,0,0,1,0,1,0,0,5.0,5.0,5.0,0,2,1,2,0,2,-10.0,-10.0,-10.0,15.0,-30.0,4.0,4.25,3.0,3.0
10,68,41.0,2.0,,3.0,,Y,Y,,,,,5.0,0,Y,,,,Y,,-1.0,-1.0,-1.0,-1.0,-1.0,the AI seemed to be trying to eat as many ghosts as possible for a high score,7.0,,Y,Y,Y,,,,-1.0,-1.0,-1.0,-1.0,-1.0,the AI seemed to be trying to get the most points and moving along the path to do so and avoid ghosts.,5.0,,Y,,,Y,,,-1.0,-1.0,-1.0,-1.0,-1.0,they seemed to be trying hard to avoid the ghosts,6.0,,4.0,4.0,4.0,5.0,I think it was obvious mostly what the AI was attempting to do.,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,2.0,7.0,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,2.0,6.0,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,7.0,,5.0,5.0,3.0,5.0,no,45.0,844.9200000000001,117.31,962.23,1,1,1,0,0,0,1,1,1,1,1,1,1,0,-5.0,-5.0,-5.0,2,2,2,3,1,4,-10.0,-10.0,-10.0,-15.0,-30.0,4.25,4.5,0.0,0.0
11,70,67.0,2.0,,4.0,,Y,,,,,,3.0,1,Y,Y,,,,,1.0,1.0,1.0,1.0,1.0,The AI agent seems to just be interested in eating as many as possible. Didn't seem to use much strategy at all.,1.0,Y,,,Y,Y,,,1.0,1.0,1.0,-1.0,1.0,The AI agent was trying to eat power pills to turn the ghost blue. Turning the ghost blue will earn more points if eaten.,2.0,Y,,,Y,,Y,,1.0,1.0,0.99,1.0,1.0,The AI agent was trying to get to the left tunnel to get to the other side and avoid the ghost.,1.0,Y,2.0,2.0,4.0,2.0,I didn't feel they told me much that made a big difference. Except in the first one I thought it made me feel like the AI was trying to get to the tunnel.,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,5.0,Y,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,2.0,1.0,2.0,Y,1.0,1.0,0.94,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,Y,3.0,3.0,4.0,3.0,,15.0,394.78,242.73000000000002,637.51,0,0,1,1,0,0,0,0,0,1,0,0,1,0,5.0,3.0,4.99,0,1,1,2,0,2,6.0,8.0,9.94,12.99,23.939999999999998,2.5,3.25,3.0,3.0
12,73,33.0,1.0,,3.0,Y,,,,,,,3.0,0,,Y,Y,,,,-1.0,-1.0,-1.0,-1.0,-1.0,"They seemed to prioritize and go after the pills, both small and big. Ghosts were ate, but it simply seemed to be whenever they got in the way rather than a priority. So ultimately their goal was simply to collect points off pills and beat the level.",6.0,,,Y,Y,,,,-1.0,-1.0,-1.0,-1.0,-1.0,It was focused on clearing the board of pills and had zero focus on the ghosts other than the one who got in their way once. Movements suggest actively going away from blue ghosts and disregarding their point value for the chance of clearing the board of pills.,6.0,,Y,,,Y,,,-1.0,-1.0,-1.0,-1.0,-1.0,Avoid the ghosts at all costs. Not a lot of pills are taken up on screen and every action has to do with avoiding or running away from a ghost. So they're playing it safe.,7.0,,4.0,4.0,5.0,5.0,No other comments.,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,2.0,4.0,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,5.0,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,2.0,4.0,,4.0,4.0,5.0,4.0,None.,40.0,625.8299999999999,209.75,835.5799999999999,0,0,0,1,0,0,1,1,1,1,1,1,1,1,-5.0,-5.0,-5.0,1,2,1,3,2,5,-10.0,-10.0,-10.0,-15.0,-30.0,4.5,4.25,0.0,0.0
13,74,40.0,1.0,,2.0,,,,,,Y,,1.0,0,Y,,,,Y,,-1.0,-1.0,-1.0,-1.0,-1.0,Seems to be going for the power pills.,4.0,,Y,,Y,,,,-1.0,-1.0,-1.0,-1.0,-1.0,Seemed to be going for the power pills.,5.0,,Y,Y,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,"Seems to have no apparent strategy, seems random.",1.0,,4.0,2.0,5.0,1.0, A video of the behavior would have given much more information,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,4.0,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,2.0,4.0,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,5.0,,3.0,2.0,5.0,1.0,I wish I could see video instead,35.0,150.25,103.19,253.44,1,1,1,1,1,1,0,0,1,1,0,0,1,0,-5.0,-5.0,-5.0,2,2,3,2,0,2,-10.0,-10.0,-10.0,-15.0,-30.0,3.0,2.75,0.0,0.0
14,75,37.0,1.0,,4.0,,Y,,,,,,5.0,2,,,,,Y,,1.0,1.0,1.0,1.0,1.0,It appeared to me pacman would target ghosts that were blue,4.0,Y,Y,,Y,,,,1.0,1.0,1.0,1.0,1.0,It looked to me that pacman would go for power pills if they were close and available ,3.0,Y,Y,,,Y,,,1.0,1.0,1.0,1.0,1.0,Pacman was trying to avoid the ghosts by using the tunnels if possible,5.0,Y,4.0,4.0,3.0,4.0,,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,2.0,3.0,Y,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,Y,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,2.0,3.0,Y,3.0,4.0,4.0,3.0,,60.0,981.72,170.43,1152.15,1,1,0,1,1,1,1,1,1,1,1,1,1,1,5.0,5.0,5.0,3,3,2,3,2,5,-4.0,8.0,-10.0,15.0,-6.0,3.75,3.5,3.0,3.0
15,78,32.0,1.0,,2.0,,Y,Y,Y,,,,4.0,1,,,Y,Y,,,1.0,1.0,1.0,1.0,1.0,Pac-Man appears to be attempting to keep the board clear of ghosts by eating as many of them as possible.,6.0,Y,,,,Y,Y,,1.0,1.0,1.0,1.0,1.0,Pac-Man appears to simply be avoiding the ghosts and trying to maximize normal pills for bulk points,4.0,Y,Y,,Y,,,,1.0,1.0,1.0,1.0,1.0,I am not sure but I think Pac-Man is trying to avoid ghosts and power pills until he can collect cherries to maximizes the points per round?,1.0,Y,3.0,2.0,2.0,3.0,"Unfortunately, especially in the last trial, many of the counterfactual images barely contained any data - some didn't even show pac-man or any ghosts, they were highlight artifacted.",0.96,0.93,1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,6.0,Y,-1.0,-1.0,-1.0,-1.0,0.79,0.89,1.0,-1.0,-1.0,-1.0,2.0,2.0,3.0,Y,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.57,-1.0,-1.0,1.0,1.0,5.0,Y,3.0,2.0,3.0,3.0,"The counterfactual images were still almost too artifacted to be useful, but some had gleanable details.",15.0,197.92000000000002,93.99,291.91,0,0,0,0,0,0,0,0,1,1,0,0,1,0,5.0,5.0,5.0,0,0,1,2,0,2,3.8900000000000006,-4.32,5.57,15.0,5.140000000000001,2.5,2.75,3.0,3.0
16,79,28.0,1.0,,2.0,,Y,Y,Y,,,,4.0,1,Y,,,,Y,,0.96,0.96,0.92,0.94,0.88,The AI agent here seemed to prioritize blue ghosts over normal pills. The AI most likely was going for higher points by eating as many ghosts as possible. Or keeping the ghosts away by eating them in their blue form.,4.0,N,,,Y,,Y,,0.83,1.0,1.0,0.95,0.83,The AI agent was trying to eat as many power pills as possible to get more points from eating blue ghosts.,6.0,N,Y,,,Y,,,0.95,1.0,0.94,0.86,0.78,The AI agent was trying to avoid the ghosts while eating pills. ,6.0,Y,2.0,2.0,2.0,3.0,,1.0,1.0,0.85,1.0,1.0,0.9,1.0,-1.0,1.0,-1.0,1.0,2.0,5.0,Y,0.56,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,2.0,4.0,N,1.0,1.0,1.0,1.0,1.0,1.0,0.69,1.0,1.0,1.0,2.0,2.0,4.0,Y,2.0,2.0,2.0,2.0,,45.0,324.80999999999995,159.95,484.75999999999993,1,1,1,1,0,0,1,1,1,1,1,1,0,1,4.66,4.61,4.529999999999999,2,3,2,2,2,4,5.75,-8.44,9.69,13.799999999999999,7.0,2.25,2.0,1.0,2.0
17,80,49.0,2.0,,4.0,,Y,Y,,,,,2.0,0,,Y,,,Y,,-1.0,-1.0,-1.0,-1.0,-1.0,The agent seemed to want to eat as many regular pills as possible and tried to get the power pills so that it could eat the ghosts before they changed back to normal. ,6.0,,,Y,Y,,,,-1.0,-1.0,-1.0,-1.0,-1.0,"This agent ate the pills and power pills, but seemed to avoid the ghosts so it could eat more regular pills to gain points. I think it ate the power pills so the ghosts wouldn't harm pac man, so then the agent could get more points by eating more pills. ",5.0,,Y,,,Y,,,-1.0,-1.0,-1.0,-1.0,-1.0,This agent seemed like it wanted to get away from the ghosts to prevent pac man from dying. It also liked to move to escape through the tunnel on the side of the screen. ,5.0,,4.0,3.0,5.0,4.0,"The images helped to try and figure out the agent's strategy, but they didn't tell you everything or show you if they won the game or not. So they were kind of helpful, but didn't show you the whole thing. ",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,6.0,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,2.0,5.0,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,7.0,,4.0,4.0,4.0,5.0,I thought the images were enough to help me decide between the two to choose the best agent that would help me get more points and also live longer. ,30.0,509.9100000000001,248.34000000000003,758.2500000000001,1,0,0,1,0,0,1,1,1,1,0,1,1,0,-5.0,-5.0,-5.0,1,3,1,3,0,3,-10.0,-10.0,-10.0,-15.0,-30.0,4.0,4.25,0.0,0.0
